TEST_PARAM.comment:,18650

SourceMeter Model:,2450
SourceMeter S/N:,00000000
SourceMeter Firmware:,1.7.1e

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,4.1914849281
TEST_PARAM.vcutoff:,3

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,1
TEST_PARAM.max_discharge_current:,1

TEST_PARAM.measure_interval:,10

TEST_PARAM.discharge_start_time:,07/03/20 14:51:05
TEST_PARAM.discharge_stop_time:,07/03/20 16:59:55

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,176,1750.1570428,3.8808994293,3.6886749268,0.19222450256
BATT_MODEL_RAW:,177,1760.1573468,3.87940979,3.6869010925,0.19250869751
BATT_MODEL_RAW:,178,1770.1577286,3.8780193329,3.6853637695,0.19265556335
BATT_MODEL_RAW:,179,1780.15886,3.876625061,3.6841316223,0.19249343872
BATT_MODEL_RAW:,180,1790.1591033,3.8752288818,3.6828079224,0.19242095947
BATT_MODEL_RAW:,181,1800.159741,3.8738327026,3.6818161011,0.19201660156
BATT_MODEL_RAW:,182,1810.1603091,3.8724517822,3.6805725098,0.19187927246
BATT_MODEL_RAW:,183,1820.1606877,3.8710651398,3.6794204712,0.19164466858
BATT_MODEL_RAW:,184,1830.1608512,3.8696746826,3.6779518127,0.19172286987
BATT_MODEL_RAW:,185,1840.1618023,3.8683452606,3.6765289307,0.19181632996
BATT_MODEL_RAW:,186,1850.1622332,3.8669090271,3.6752090454,0.19169998169
BATT_MODEL_RAW:,187,1860.1630705,3.865530014,3.6738624573,0.19166755676
BATT_MODEL_RAW:,188,1870.1633383,3.8641548157,3.6726493835,0.19150543213
BATT_MODEL_RAW:,189,1880.163978,3.8627815247,3.6715660095,0.19121551514
BATT_MODEL_RAW:,190,1890.1641428,3.8614749908,3.6703567505,0.19111824036
BATT_MODEL_RAW:,191,1900.1643453,3.8600921631,3.6688499451,0.19124221802
BATT_MODEL_RAW:,192,1910.1649408,3.858669281,3.6670379639,0.19163131714
BATT_MODEL_RAW:,193,1920.1653414,3.8573703766,3.6654853821,0.19188499451
BATT_MODEL_RAW:,194,1930.1664365,3.8559169769,3.6642227173,0.19169425964
BATT_MODEL_RAW:,195,1940.1673721,3.8545608521,3.6628379822,0.19172286987
BATT_MODEL_RAW:,196,1950.1684466,3.8532142639,3.6615600586,0.19165420532
BATT_MODEL_RAW:,197,1960.1694085,3.8518199921,3.6599807739,0.19183921814
BATT_MODEL_RAW:,198,1970.1702991,3.8505020142,3.6581420898,0.19235992432
BATT_MODEL_RAW:,199,1980.1706147,3.8491096497,3.6565437317,0.19256591797
BATT_MODEL_RAW:,200,1990.1717963,3.8477649689,3.6550979614,0.19266700745
BATT_MODEL_RAW:,201,2000.1724529,3.8465023041,3.6538047791,0.19269752502
